country_id,country,MAX(Y2000)
79,Estonia,2.075
86,Finland,2.04
140,Lithuania,2.015
134,Latvia,2.011
231,"Svalbard and Jan Mayen Islands",1.976
20,Belarus,1.922
66,"Czech Republic",1.913
191,Poland,1.885
220,Slovenia,1.804
14,Austria,1.772
